
-------------------------------------------------------------
-------------- Model input ----------------------------------
-------------------------------------------------------------

Model parameters:

+-------------+----------+
| Parameter   |    Value |
|-------------+----------|
| w [m]       |      0.3 |
| h [m]       |      0.1 |
| a [m]       |     0.05 |
| b [m]       |    0.025 |
| E [Pa]      | 2.08e+11 |
| v [-]       |      0.5 |
| t [-]       |     0.01 |
+-------------+----------+

Model boundary conditions:

+----------+----------------+
|   Marker |   Displacement |
|----------+----------------|
|       80 |              0 |
+----------+----------------+

Loads:

+----------+-----------+------------+
|   Marker |   qx[N/m] |   qy [N/m] |
|----------+-----------+------------|
|       50 |     1e+05 |          0 |
+----------+-----------+------------+

-------------------------------------------------------------
-------------- Results --------------------------------------
-------------------------------------------------------------

Model info:

+---------------------+------+
| Max element size:   | 0.05 |
| Dofs per node:      |    2 |
| Element type:       |    2 |
| Number of dofs:     |  406 |
| Number of elements: |  342 |
| Number of nodes:    |  203 |
+---------------------+------+

Summary of results:

+----------------------+-----------+------+
| Max displacement:    |  1.23e-05 | [m]  |
| Min displacement:    | -9.97e-07 | [m]  |
| Max reaction force:  |       528 | [N]  |
| Min reaction force:  | -1.36e+03 | [N]  |
| Sum reaction forces: |    -1e+04 | [N]  |
| Max vonMises:        |  1.86e+07 | [Pa] |
| Min vonMises:        |  6.01e+05 | [Pa] |
+----------------------+-----------+------+

Results per node:

+-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------+
|   N |   dof |   dof |   x_coord |    y_coord |      a_x |       a_y |       R_x |       R_y |
|     |     x |     y |       [m] |        [m] |     [mm] |      [mm] |      [kN] |      [kN] |
|-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------|
|  62 | 1e+02 | 1e+02 |         0 |    0.01429 |        0 |         0 |     -1.36 |    -0.262 |
|  63 | 1e+02 | 1e+02 |    0.2877 |    0.04985 |   0.0119 |  0.000106 |  1.23e-14 |  3.87e-15 |
|  64 | 1e+02 | 1e+02 |   0.01237 |       0.05 | 0.000297 |  4.65e-06 |  1.14e-16 | -5.68e-17 |
|  65 | 1e+02 | 1e+02 |   0.07031 |    0.01353 |   0.0021 |   0.00076 | -9.09e-16 |         0 |
|  66 | 1e+02 | 1e+02 |    0.2297 |    0.08675 |     0.01 | -0.000687 |  9.98e-15 | -8.87e-15 |
|  67 | 1e+02 | 1e+02 |   0.08583 |    0.08755 |  0.00252 | -0.000834 |  2.73e-15 |         0 |
|  68 | 1e+02 | 1e+02 |    0.2137 |    0.01415 |  0.00964 |  0.000856 |  -2.3e-14 |  3.87e-15 |
|  69 | 1e+02 | 1e+02 |    0.2468 |    0.01548 |   0.0106 |   0.00071 |  2.54e-14 | -9.55e-15 |
|  70 | 1e+02 | 1e+02 |   0.05371 |    0.08661 |   0.0016 | -0.000674 | -4.09e-15 |  9.09e-16 |
|  71 | 1e+02 | 1e+02 |    0.2591 |     0.0872 |   0.0109 | -0.000565 | -2.83e-14 |  1.09e-14 |
|  72 | 1e+02 | 1e+02 |   0.04079 |    0.01541 |   0.0012 |  0.000568 | -2.27e-15 | -4.55e-16 |
|  73 | 1e+02 | 1e+02 |    0.1313 |    0.06411 |  0.00493 | -0.000211 | -1.34e-14 |  2.96e-15 |
|  74 | 1e+02 | 1e+02 |    0.1168 |    0.06668 |  0.00418 | -0.000367 |  6.42e-15 |  3.18e-15 |
|  75 | 1e+02 | 2e+02 |    0.1687 |    0.06413 |  0.00721 | -0.000196 | -2.56e-15 | -4.66e-15 |
|  76 | 2e+02 | 2e+02 |    0.1814 |     0.0636 |  0.00781 | -0.000247 | -9.95e-15 | -1.38e-14 |
|  77 | 2e+02 | 2e+02 |    0.1429 |    0.03593 |  0.00564 |  0.000353 |  1.85e-14 | -1.25e-15 |
|  78 | 2e+02 | 2e+02 |    0.1024 |    0.01271 |  0.00293 |  0.000849 |  1.39e-14 | -9.09e-16 |
|  79 | 2e+02 | 2e+02 |    0.1687 |    0.03583 |  0.00723 |   0.00024 | -5.91e-15 | -4.77e-15 |
|  80 | 2e+02 | 2e+02 |    0.1812 |    0.03583 |  0.00784 |  0.000319 | -2.48e-14 |  2.96e-15 |
|  81 | 2e+02 | 2e+02 |    0.2766 |    0.01353 |   0.0116 |  0.000702 |  3.22e-14 |  4.09e-15 |
|  82 | 2e+02 | 2e+02 |   0.02417 |    0.08727 | 0.000689 | -0.000457 | -1.14e-15 | -1.36e-15 |
|  83 | 2e+02 | 2e+02 |    0.1247 |    0.05357 |  0.00475 | -6.47e-05 |  2.39e-15 |  2.27e-16 |
|  84 | 2e+02 | 2e+02 |    0.1116 |    0.05347 |  0.00411 | -8.89e-05 |  4.32e-15 |  -3.1e-15 |
|  85 | 2e+02 | 2e+02 |     0.199 |    0.08723 |  0.00923 |  -0.00081 |    -2e-14 |  7.96e-15 |
|  86 | 2e+02 | 2e+02 |    0.1055 |     0.0646 |  0.00368 | -0.000381 | -9.52e-16 |  1.53e-15 |
|  87 | 2e+02 | 2e+02 |   0.09829 |    0.05259 |  0.00347 | -7.22e-05 | -6.48e-15 | -1.36e-15 |
|  88 | 2e+02 | 2e+02 |    0.1883 |    0.02507 |  0.00852 |   0.00062 | -7.73e-15 |    -5e-15 |
|  89 | 2e+02 | 2e+02 |    0.1943 |    0.03612 |  0.00845 |  0.000408 |  1.57e-14 |  2.05e-15 |
|  90 | 2e+02 | 2e+02 |    0.1063 |    0.04111 |  0.00381 |  0.000234 | -2.22e-15 | -2.43e-15 |
|  91 | 2e+02 | 2e+02 |   0.09246 |    0.03773 |  0.00312 |  0.000347 |  9.09e-15 |  2.61e-15 |
|  92 | 2e+02 | 2e+02 |   0.08425 |    0.05214 |  0.00282 | -4.58e-05 | -1.35e-15 |  1.28e-15 |
|  93 | 2e+02 | 2e+02 |   0.07699 |    0.03994 |  0.00249 |  0.000247 | -1.73e-15 | -4.55e-16 |
|  94 | 2e+02 | 2e+02 |   0.06941 |    0.05235 |   0.0022 | -5.68e-05 |  3.67e-15 | -5.68e-16 |
|  95 | 2e+02 | 2e+02 |   0.06193 |    0.04024 |  0.00191 |  0.000207 |  2.27e-15 | -1.25e-15 |
|  96 | 2e+02 | 2e+02 |   0.05437 |    0.05248 |  0.00163 |  -4.9e-05 | -3.69e-15 |  7.96e-16 |
|  97 | 2e+02 | 2e+02 |   0.04741 |    0.04051 |  0.00138 |  0.000174 |  -2.5e-15 | -1.36e-15 |
|  98 | 2e+02 | 2e+02 |   0.03961 |    0.05343 |  0.00112 |  -5.7e-05 |   3.1e-15 | -3.69e-16 |
|  99 | 2e+02 | 2e+02 |    0.2882 |    0.07836 |   0.0119 | -0.000362 | -1.47e-14 | -8.36e-15 |
| 100 | 2e+02 | 2e+02 |   0.01134 |    0.02172 | 0.000274 |  0.000156 |  6.82e-16 | -2.84e-16 |
| 101 | 2e+02 | 2e+02 |    0.1146 |    0.08056 |  0.00351 | -0.000666 |  8.19e-15 | -1.36e-15 |
| 102 | 2e+02 | 2e+02 |   0.03257 |    0.03924 | 0.000884 |  0.000154 |  2.67e-15 |   4.9e-16 |
| 103 | 2e+02 | 2e+02 |    0.1385 |    0.05317 |  0.00542 | -4.58e-05 |  1.77e-14 | -6.93e-15 |
