
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +---------------+---------+
    | Parameter     |   Value |
    |---------------+---------|
    | w [m]         |     100 |
    | h [m]         |      10 |
    | d [m]         |       5 |
    | t [m]         |     0.5 |
    | thickness [m] |       1 |
    | kx [m/day]    |      20 |
    | ky [m/day]    |      20 |
    +---------------+---------+

    Model boundary conditions:

    +----------+--------------------+
    |   Marker |   Piezometric head |
    |----------+--------------------|
    |       10 |                 10 |
    |       20 |                  0 |
    +----------+--------------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+-----+
    | Max element size:   |   2 |
    | Dofs per node:      |   1 |
    | Element type:       |   3 |
    | Number of dofs:     | 422 |
    | Number of elements: | 359 |
    | Number of nodes:    | 422 |
    +---------------------+-----+

    Summary of results:

    +------------------------+---------+---------+
    | Max piezometric head:  |  10.000 | [m]     |
    | Min piezometric head:  |   0.000 | [m]     |
    | Max boundary flow:     |  18.314 | [m/day] |
    | Min boundary flow:     | -18.443 | [m/day] |
    | Sum boundary flow:     |  -0.000 | [m/day] |
    | Max resulting gw flow: |  32.534 | [m/day] |
    | Min resulting gw flow: |   0.002 | [m/day] |
    +------------------------+---------+---------+

    Results per node:

    +-----+-------+-----------+------------+--------+-----------+
    |   N |   dof |   x_coord |    y_coord |   P.h. |      q BC |
    |     |       |       [m] |        [m] |    [m] |   [m/day] |
    |-----+-------+-----------+------------+--------+-----------|
    | 156 |   156 |      93.1 |        8.4 |  0.002 |     0.000 |
    | 157 |   157 |      38.8 |        2.2 |  9.113 |     0.000 |
    | 158 |   158 |      61.6 |        1.5 |  0.838 |     0.000 |
    | 159 |   159 |       9.3 |        1.7 |  9.991 |     0.000 |
    | 160 |   160 |      91.5 |        1.7 |  0.007 |     0.000 |
    | 161 |   161 |      65.4 |        1.7 |  0.453 |     0.000 |
    | 162 |   162 |      35.7 |        1.6 |  9.469 |    -0.000 |
    | 163 |   163 |      13.4 |        1.7 |  9.984 |    -0.000 |
    | 164 |   164 |      87.4 |        1.7 |  0.014 |    -0.000 |
    | 165 |   165 |      69.4 |        1.8 |  0.241 |     0.000 |
    | 166 |   166 |      32.0 |        1.7 |  9.709 |     0.000 |
    | 167 |   167 |      83.4 |        1.8 |  0.026 |     0.000 |
    | 168 |   168 |      17.4 |        1.7 |  9.969 |    -0.000 |
    | 169 |   169 |      73.4 |        1.8 |  0.127 |    -0.000 |
    | 170 |   170 |      28.0 |        1.7 |  9.847 |    -0.000 |
    | 171 |   171 |      79.4 |        1.8 |  0.048 |     0.000 |
    | 172 |   172 |      21.6 |        2.3 |  9.943 |    -0.000 |
    | 173 |   173 |      49.7 |        4.0 |  5.406 |     0.000 |
    | 174 |   174 |      49.2 |        4.2 |  5.777 |    -0.000 |
    | 175 |   175 |      50.4 |        3.7 |  4.563 |     0.000 |
    | 176 |   176 |      49.4 |        3.3 |  5.446 |    -0.000 |
    | 177 |   177 |      48.7 |        3.8 |  6.239 |     0.000 |
    | 178 |   178 |      51.3 |        4.3 |  3.631 |     0.000 |
    | 179 |   179 |      51.3 |        3.4 |  3.922 |    -0.000 |
    | 180 |   180 |      52.4 |        4.4 |  2.801 |     0.000 |
    | 181 |   181 |      98.6 |        2.7 |  0.004 |    -0.000 |
    | 182 |   182 |       1.6 |        3.3 |  9.997 |    -0.000 |
    | 183 |   183 |      51.1 |        2.4 |  4.201 |     0.000 |
    | 184 |   184 |      49.2 |        2.5 |  5.660 |    -0.000 |
    | 185 |   185 |      47.9 |        3.0 |  6.440 |    -0.000 |
    | 186 |   186 |      47.2 |        4.4 |  7.357 |    -0.000 |
    | 187 |   187 |      46.4 |        3.8 |  7.379 |    -0.000 |
    | 188 |   188 |      46.0 |        5.1 |  7.944 |    -0.000 |
    | 189 |   189 |      45.4 |        4.1 |  7.950 |    -0.000 |
    | 190 |   190 |      52.5 |        3.2 |  3.259 |    -0.000 |
    | 191 |   191 |      53.6 |        4.1 |  2.497 |     0.000 |
    | 192 |   192 |      53.2 |        5.5 |  2.164 |     0.000 |
    | 193 |   193 |      54.3 |        4.8 |  1.979 |    -0.000 |
    | 194 |   194 |      45.2 |        5.6 |  8.461 |     0.000 |
    | 195 |   195 |      43.8 |        4.8 |  8.502 |     0.000 |
    | 196 |   196 |      46.7 |        6.1 |  8.299 |    -0.000 |
    | 197 |   197 |       3.4 |        8.4 |  9.999 |     0.000 |
    | 198 |   198 |      96.7 |        8.5 |  0.001 |     0.000 |
    | 199 |   199 |      51.6 |        7.8 |  1.158 |    -0.000 |
    | 200 |   200 |      48.5 |        7.4 |  8.622 |    -0.000 |
    | 201 |   201 |      43.9 |        6.8 |  9.043 |     0.000 |
    | 202 |   202 |      42.4 |        5.6 |  9.024 |     0.000 |
    | 203 |   203 |      41.9 |        3.7 |  8.764 |     0.000 |
    | 204 |   204 |      41.2 |        5.1 |  9.031 |     0.000 |
    | 205 |   205 |      53.9 |        6.5 |  1.418 |     0.000 |
    | 206 |   206 |      55.2 |        5.9 |  1.410 |    -0.000 |
    | 207 |   207 |      56.6 |        5.3 |  1.269 |    -0.000 |
    | 208 |   208 |      58.2 |        4.7 |  1.098 |    -0.000 |
    | 209 |   209 |      58.9 |        6.1 |  0.752 |     0.000 |
    | 210 |   210 |      59.8 |        4.3 |  0.885 |     0.000 |
    | 211 |   211 |      60.4 |        5.6 |  0.674 |    -0.000 |
    | 212 |   212 |      59.5 |        3.0 |  1.060 |    -0.000 |
    | 213 |   213 |      47.6 |        5.5 |  7.533 |     0.000 |
    | 214 |   214 |      52.8 |        7.1 |  1.468 |    -0.000 |
    | 215 |   215 |      53.4 |        8.3 |  0.713 |     0.000 |
    | 216 |   216 |      48.4 |        4.6 |  6.697 |     0.000 |
    | 217 |   217 |      46.2 |        8.1 |  9.234 |     0.000 |
    | 218 |   218 |      61.1 |        4.0 |  0.757 |     0.000 |
    | 219 |   219 |      62.3 |        4.9 |  0.545 |     0.000 |
    | 220 |   220 |      63.0 |        3.2 |  0.606 |     0.000 |
    | 221 |   221 |      64.7 |        5.1 |  0.368 |    -0.000 |
    | 222 |   222 |      47.4 |        7.0 |  8.406 |    -0.000 |
    | 223 |   223 |      46.2 |        1.5 |  7.090 |     0.000 |
    | 224 |   224 |      40.7 |        3.2 |  8.881 |    -0.000 |
    | 225 |   225 |      42.2 |        8.4 |  9.622 |    -0.000 |
    | 226 |   226 |      56.3 |        8.6 |  0.428 |    -0.000 |
