
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +-------------+---------+
    | Parameter   |   Value |
    |-------------+---------|
    | w [m]       |     0.1 |
    | h [m]       |     0.1 |
    | a [m]       |    0.01 |
    | b [m]       |    0.01 |
    | x [m]       |    0.01 |
    | y [m]       |    0.01 |
    | t [m]       |       1 |
    | kx [W/mC]   |     1.7 |
    | ky [W/mC]   |     1.7 |
    +-------------+---------+

    Model boundary conditions:

    +----------+---------------+
    |   Marker |   Temperature |
    |----------+---------------|
    |       10 |            20 |
    |       20 |            20 |
    |       30 |            20 |
    |       40 |            20 |
    |      110 |           120 |
    |      120 |           120 |
    |      130 |           120 |
    |      140 |           120 |
    +----------+---------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+------+
    | Max element size:   | 0.05 |
    | Dofs per node:      |    1 |
    | Element type:       |    3 |
    | Number of dofs:     |  357 |
    | Number of elements: |  321 |
    | Number of nodes:    |  357 |
    +---------------------+------+

    Summary of results:

    +--------------------------+-----------+--------+
    | Max Temperature:         |   120.000 | [C]    |
    | Min Temperature:         |    20.000 | [C]    |
    | Max boundary heat power: |   158.823 | [W/m]  |
    | Min boundary heat power: |   -96.880 | [W/m]  |
    | Sum boundary heat power: |     0.000 | [W/m]  |
    | Max resulting heat flux: | 27267.602 | [W/m2] |
    | Min resulting heat flux: |     4.625 | [W/m2] |
    +--------------------------+-----------+--------+

    Results per node:

    +-----+-------+-----------+------------+-------+--------------+
    |   N |   dof |   x_coord |    y_coord |     T |   Heat power |
    |     |       |       [m] |        [m] |   [C] |        [W/m] |
    |-----+-------+-----------+------------+-------+--------------|
    |  140 | 176 | 177 | 279 | 154 |     74.1 |   -299.0 |    422.8 |   -43.6 |    175.9 |
    |  141 | 154 | 134 | 117 | 127 |    132.0 |   -272.7 |    385.7 |   -77.7 |    160.4 |
    |  142 | 121 | 120 | 130 | 128 |    339.0 |   -143.9 |    203.5 |  -199.4 |     84.6 |
    |  143 | 271 |  79 | 267 | 321 |    298.1 |     63.9 |     90.4 |  -175.3 |    -37.6 |
    |  144 | 134 | 158 | 194 | 159 |    109.1 |   -225.7 |    319.2 |   -64.2 |    132.8 |
    |  145 | 340 | 220 | 216 | 219 |    340.2 |    612.6 |    866.4 |  -200.1 |   -360.4 |
    |  146 | 153 | 163 | 170 | 169 |   -286.0 |   -487.6 |    689.6 |   168.2 |    286.8 |
    |  147 | 107 | 104 | 103 | 106 |    276.9 |   -462.4 |    654.0 |  -162.9 |    272.0 |
    |  148 | 226 | 281 | 173 | 174 |   -165.9 |   -285.3 |    403.4 |    97.6 |    167.8 |
    |  149 | 102 | 109 | 113 | 108 |    235.9 |   -575.9 |    814.5 |  -138.8 |    338.8 |
    |  150 | 100 | 102 | 108 | 103 |    250.3 |   -545.3 |    771.2 |  -147.2 |    320.8 |
    |  151 | 182 | 126 | 299 | 229 |    111.9 |  -1417.5 |   2004.6 |   -65.8 |    833.8 |
    |  152 | 111 | 107 | 106 | 110 |    305.0 |   -322.5 |    456.0 |  -179.4 |    189.7 |
    |  153 |  98 |  99 | 102 | 100 |    472.5 |   -627.8 |    887.9 |  -278.0 |    369.3 |
    |  154 | 103 | 104 | 278 | 100 |    430.3 |   -489.0 |    691.5 |  -253.1 |    287.6 |
    |  155 |  96 |  97 |  99 |  98 |    534.5 |   -610.9 |    864.0 |  -314.4 |    359.4 |
    |  156 | 215 | 161 | 219 | 216 |    440.4 |    403.0 |    569.9 |  -259.0 |   -237.1 |
    |  157 | 134 | 154 | 279 | 158 |    142.9 |   -289.3 |    409.1 |   -84.1 |    170.2 |
    |  158 | 109 | 114 | 115 | 113 |    -25.8 |   -630.6 |    891.9 |    15.2 |    371.0 |
    |  159 | 166 | 162 | 151 | 152 |   -440.8 |  -1012.0 |   1431.3 |   259.3 |    595.3 |
    |  160 | 144 | 145 | 155 | 146 |    469.8 |    138.4 |    195.7 |  -276.3 |    -81.4 |
    |  161 |  94 |  95 |  97 |  96 |    879.9 |   -673.6 |    952.6 |  -517.6 |    396.2 |
    |  162 |  98 | 275 | 101 |  96 |    657.6 |   -526.8 |    745.1 |  -386.8 |    309.9 |
    |  163 | 173 | 281 | 224 | 183 |    -48.9 |   -298.7 |    422.4 |    28.8 |    175.7 |
    |  164 | 164 | 155 | 145 | 157 |    356.7 |    217.5 |    307.6 |  -209.9 |   -127.9 |
    |  165 | 292 | 166 | 167 | 208 |  -1049.9 |  -1323.1 |   1871.1 |   617.6 |    778.3 |
    |  166 | 212 | 185 | 163 | 162 |   -574.7 |   -539.3 |    762.7 |   338.0 |    317.2 |
    |  167 | 212 | 222 | 243 | 185 |   -872.1 |   -496.2 |    701.8 |   513.0 |    291.9 |
    |  168 | 112 | 111 | 286 | 120 |    322.4 |   -229.3 |    324.3 |  -189.7 |    134.9 |
    |  169 | 151 | 162 | 163 | 153 |   -543.3 |   -772.7 |   1092.7 |   319.6 |    454.5 |
    |  170 | 100 | 278 | 275 |  98 |    428.3 |   -446.3 |    631.2 |  -251.9 |    262.5 |
    |  171 | 122 | 125 | 289 | 114 |   -156.7 |   -810.4 |   1146.1 |    92.2 |    476.7 |
    |  172 |  95 |  94 |  93 |  92 |   1055.0 |   -476.6 |    674.0 |  -620.6 |    280.3 |
    |  173 | 161 | 155 | 164 | 285 |    367.5 |    268.2 |    379.3 |  -216.2 |   -157.8 |
    |  174 | 110 | 106 | 288 | 272 |    186.1 |   -426.7 |    603.5 |  -109.5 |    251.0 |
    |  175 | 110 | 117 | 286 | 111 |    238.0 |   -332.6 |    470.3 |  -140.0 |    195.6 |
    |  176 | 132 | 148 | 186 | 181 |   1201.2 |    287.6 |    406.7 |  -706.6 |   -169.2 |
    |  177 |  96 | 101 | 294 |  94 |    772.3 |   -347.7 |    491.8 |  -454.3 |    204.5 |
    |  178 | 106 | 103 | 108 | 288 |    289.5 |   -437.5 |    618.8 |  -170.3 |    257.4 |
    |  179 | 120 | 286 | 296 | 130 |    280.6 |   -243.2 |    343.9 |  -165.1 |    143.1 |
    |  180 | 113 | 123 | 288 | 108 |    125.9 |   -533.2 |    754.1 |   -74.0 |    313.6 |
    |  181 | 151 | 153 | 289 | 125 |   -163.3 |   -766.4 |   1083.9 |    96.0 |    450.8 |
    |  182 | 109 | 102 |  99 | 284 |    217.1 |   -714.0 |   1009.7 |  -127.7 |    420.0 |
    |  183 | 295 | 289 | 153 | 169 |   -307.6 |   -610.0 |    862.6 |   180.9 |    358.8 |
    |  184 | 215 | 300 | 144 | 146 |    594.4 |    258.5 |    365.6 |  -349.6 |   -152.1 |
    |  185 | 295 | 115 | 114 | 289 |    -21.1 |   -608.8 |    861.0 |    12.4 |    358.1 |
    |  186 | 117 | 277 | 296 | 286 |    227.7 |   -202.2 |    285.9 |  -133.9 |    118.9 |
    |  187 |  80 | 291 | 185 | 243 |   -550.4 |   -217.3 |    307.3 |   323.8 |    127.8 |
    |  188 | 175 | 295 | 169 | 171 |   -125.4 |   -439.0 |    620.9 |    73.8 |    258.3 |
    |  189 | 141 | 149 | 287 | 143 |    430.0 |      7.0 |      9.9 |  -253.0 |     -4.1 |
    |  190 | 170 | 163 | 185 | 291 |   -537.4 |   -477.7 |    675.6 |   316.1 |    281.0 |
    |  191 | 144 | 143 | 287 | 145 |    419.9 |    141.3 |    199.9 |  -247.0 |    -83.1 |
    |  192 | 262 |  92 |  91 |  90 |   1513.3 |   -732.3 |   1035.7 |  -890.2 |    430.8 |
    |  193 | 123 | 298 | 272 | 288 |    179.0 |   -380.5 |    538.1 |  -105.3 |    223.8 |
    |  194 | 188 | 157 | 145 | 287 |    388.3 |     82.4 |    116.6 |  -228.4 |    -48.5 |
    |  195 | 148 | 132 |  93 | 133 |   1195.3 |    143.3 |    202.7 |  -703.1 |    -84.3 |
    |  196 | 132 |  91 |  92 |  93 |   1568.5 |   -372.7 |    527.1 |  -922.7 |    219.3 |
    |  197 | 124 | 323 | 321 | 267 |    244.0 |     55.5 |     78.6 |  -143.5 |    -32.7 |
    |  198 | 240 | 184 | 318 | 241 |    669.8 |   -100.9 |    142.7 |  -394.0 |     59.4 |
    |  199 |  88 |  90 |  91 |  89 |   2532.4 |   -641.2 |    906.8 | -1489.6 |    377.2 |
    |  200 | 297 | 181 | 189 | 290 |   1549.8 |    784.7 |   1109.7 |  -911.6 |   -461.6 |
    |  201 | 105 |  88 |  87 |  86 |   3524.4 |  -1478.3 |   2090.7 | -2073.2 |    869.6 |
    |  202 | 159 | 197 | 296 | 277 |    161.3 |   -195.5 |    276.5 |   -94.9 |    115.0 |
    |  203 |  94 | 294 | 133 |  93 |   1051.3 |   -345.1 |    488.0 |  -618.4 |    203.0 |
    |  204 |  49 |  50 | 308 | 203 |   2809.5 |   8493.0 |  12011.0 | -1652.6 |  -4995.9 |
    |  205 |  88 |  89 | 131 |  87 |   2853.9 |     22.9 |     32.4 | -1678.8 |    -13.5 |
    |  206 | 274 | 123 | 113 | 303 |     59.0 |   -434.0 |    613.8 |   -34.7 |    255.3 |
    |  207 | 178 | 176 | 272 | 298 |     78.9 |   -353.9 |    500.5 |   -46.4 |    208.2 |
    |  208 | 142 | 144 | 300 | 184 |    555.8 |     56.1 |     79.4 |  -326.9 |    -33.0 |
    |  209 | 302 |  84 |   6 | 201 |   5227.8 |  -7558.2 |  10688.9 | -3075.2 |   4446.0 |
    |  210 |  70 |   6 |  84 |  83 |  11453.1 |  -2995.7 |   4236.6 | -6737.1 |   1762.2 |
    |  211 | 230 | 262 |  90 | 310 |   1612.3 |  -1389.4 |   1965.0 |  -948.4 |    817.3 |
    |  212 | 181 | 297 |  91 | 132 |   1762.3 |    426.9 |    603.7 | -1036.7 |   -251.1 |
    |  213 | 236 | 160 | 234 | 315 |   1586.4 |   1988.5 |   2812.1 |  -933.2 |  -1169.7 |
    |  214 | 237 | 303 | 113 | 115 |     54.9 |   -503.4 |    711.9 |   -32.3 |    296.1 |
    |  215 | 324 | 269 | 156 | 351 |    140.9 |    190.1 |    268.9 |   -82.9 |   -111.9 |
    |  216 | 293 | 350 | 203 | 308 |   5068.3 |   6096.7 |   8622.0 | -2981.3 |  -3586.3 |
    |  217 |  84 | 302 | 105 |  86 |   3855.6 |  -2752.6 |   3892.7 | -2268.0 |   1619.2 |
    |  218 |  86 |  85 |  83 |  84 |   7081.8 |  -1669.3 |   2360.8 | -4165.8 |    982.0 |
    |  219 |  91 | 297 | 131 |  89 |   2156.6 |    -61.9 |     87.5 | -1268.6 |     36.4 |
    |  220 | 274 | 303 | 237 | 316 |     -3.3 |   -489.8 |    692.7 |     1.9 |    288.1 |
    |  221 | 251 | 252 | 328 | 249 |    312.4 |    -18.1 |     25.6 |  -183.8 |     10.6 |
    |  222 | 193 | 309 | 186 | 148 |    981.7 |    449.3 |    635.4 |  -577.5 |   -264.3 |
    |  223 |   7 |  70 |  83 | 293 |  13790.7 |   3750.6 |   5304.2 | -8112.2 |  -2206.3 |
    |  224 |  66 |  67 | 311 | 136 |   -204.9 |    -14.8 |     21.0 |   120.5 |      8.7 |
    |  225 |  36 |  37 | 312 | 124 |    180.7 |     16.6 |     23.4 |  -106.3 |     -9.8 |
    |  226 | 341 | 137 |  22 | 313 |     41.3 |    -72.3 |    102.2 |   -24.3 |     42.5 |
    |  227 |  90 |  88 | 105 | 310 |   1885.3 |  -1532.7 |   2167.5 | -1109.0 |    901.6 |
    |  228 | 133 | 294 | 241 | 318 |    855.9 |    -36.6 |     51.7 |  -503.5 |     21.5 |
    |  229 | 128 | 150 | 327 | 129 |    353.8 |    -73.7 |    104.2 |  -208.1 |     43.3 |
    |  230 |  44 |  45 |  76 | 314 |    103.1 |    981.3 |   1387.8 |   -60.7 |   -577.3 |
    |  231 |  12 | 118 | 334 |  11 |    -57.2 |   -248.1 |    350.8 |    33.7 |    145.9 |
    |  232 |  86 |  87 | 304 |  85 |   4672.8 |    415.8 |    588.0 | -2748.7 |   -244.6 |
    |  233 |  14 |  77 | 336 |  13 |    -48.1 |   -315.4 |    446.0 |    28.3 |    185.5 |
    |  234 | 349 |   8 |  71 | 307 |  -3531.8 |  19281.1 |  27267.6 |  2077.5 | -11341.8 |
    |  235 |  27 | 119 | 332 |  26 |    143.8 |    -28.4 |     40.2 |   -84.6 |     16.7 |
    |  236 | 217 | 244 | 338 | 137 |     81.4 |   -121.2 |    171.4 |   -47.9 |     71.3 |
    |  237 | 160 | 233 | 317 | 234 |   1667.9 |   2824.8 |   3994.8 |  -981.1 |  -1661.6 |
    |  238 | 237 | 204 | 319 | 316 |    -58.7 |   -372.6 |    526.9 |    34.6 |    219.2 |
    |  239 | 256 | 258 | 337 | 257 |    235.2 |    -94.5 |    133.7 |  -138.3 |     55.6 |
    |  240 |  69 |   5 | 354 | 135 |  -5362.9 | -13277.6 |  18777.3 |  3154.6 |   7810.3 |
    |  241 |  22 | 137 | 338 |  21 |      9.2 |   -108.8 |    153.9 |    -5.4 |     64.0 |
    |  242 | 197 | 199 | 331 | 296 |    226.8 |   -159.5 |    225.6 |  -133.4 |     93.9 |
    |  243 | 158 | 279 | 333 | 196 |     59.2 |   -254.0 |    359.2 |   -34.8 |    149.4 |
    |  244 |  38 |   3 |  39 | 346 |     34.5 |     34.5 |     48.8 |   -20.3 |    -20.3 |
    |  245 |  68 |   1 |   9 | 347 |    -31.9 |    -31.9 |     45.2 |    18.8 |     18.8 |
    |  246 |  23 |   2 |  24 | 348 |     16.6 |    -16.6 |     23.5 |    -9.8 |      9.8 |
    |  247 | 178 | 274 | 316 | 180 |     44.1 |   -351.1 |    496.5 |   -25.9 |    206.5 |
    |  248 | 197 | 198 | 342 | 199 |    139.2 |   -146.0 |    206.5 |   -81.9 |     85.9 |
    |  249 | 195 | 194 | 322 | 276 |     71.6 |   -180.4 |    255.1 |   -42.1 |    106.1 |
    |  250 | 209 | 357 | 228 | 116 |  -3893.4 |  -2466.3 |   3487.9 |  2290.3 |   1450.8 |
    |  251 |  72 |   8 | 306 | 305 | -19349.7 |   3751.7 |   5305.7 | 11382.2 |  -2206.9 |
    |  252 | 316 | 319 | 192 | 180 |     56.9 |   -393.6 |    556.6 |   -33.5 |    231.5 |
    |  253 | 236 | 315 | 290 | 189 |   1367.5 |   1661.0 |   2349.0 |  -804.4 |   -977.0 |
    |  254 | 158 | 196 | 322 | 194 |    108.7 |   -244.1 |    345.2 |   -64.0 |    143.6 |
    |  255 | 148 | 133 | 318 | 193 |    903.2 |     30.2 |     42.7 |  -531.3 |    -17.8 |
    |  256 | 161 | 285 | 339 | 219 |    328.5 |    406.0 |    574.1 |  -193.3 |   -238.8 |
    |  257 | 282 | 301 | 354 |   5 | -15418.2 |  -8108.1 |  11466.6 |  9069.5 |   4769.5 |
    |  258 | 293 | 308 | 283 |   7 |   9255.8 |  13337.7 |  18862.3 | -5444.6 |  -7845.7 |
    |  259 | 164 | 205 | 351 | 207 |    253.6 |    239.1 |    338.2 |  -149.2 |   -140.7 |
    |  260 | 276 | 322 | 261 |  81 |     74.4 |   -198.1 |    280.2 |   -43.8 |    116.5 |
    |  261 | 204 | 213 | 325 | 319 |     18.4 |   -350.3 |    495.4 |   -10.8 |    206.1 |
    |  262 | 213 |  77 | 263 | 325 |    -47.0 |   -330.7 |    467.6 |    27.7 |    194.5 |
    |  263 | 157 | 188 | 321 | 187 |    308.2 |    127.8 |    180.8 |  -181.3 |    -75.2 |
    |  264 | 321 | 323 | 205 | 187 |    281.5 |    130.8 |    185.0 |  -165.6 |    -77.0 |
    |  265 | 259 | 250 | 249 | 328 |    301.6 |    -74.7 |    105.6 |  -177.4 |     43.9 |
    |  266 | 181 | 186 | 320 | 189 |   1242.7 |    888.0 |   1255.8 |  -731.0 |   -522.3 |
    |  267 | 253 | 254 | 271 | 329 |    336.9 |     37.8 |     53.4 |  -198.2 |    -22.2 |
    |  268 |   7 | 283 | 307 |  71 |   1978.8 |  19107.5 |  27022.1 | -1164.0 | -11239.7 |
    |  269 |   5 |  72 | 305 | 282 | -18842.2 |  -1769.3 |   2502.2 | 11083.6 |   1040.8 |
    |  270 | 149 | 141 | 139 | 326 |    418.0 |     27.6 |     39.0 |  -245.9 |    -16.2 |
    |  271 | 297 | 290 | 343 | 131 |   2353.2 |   1154.2 |   1632.3 | -1384.2 |   -678.9 |
    |  272 | 129 | 327 | 326 | 139 |    404.4 |    -89.7 |    126.9 |  -237.9 |     52.8 |
    |  273 |  69 | 353 | 201 |   6 |   2030.6 | -11311.0 |  15996.1 | -1194.5 |   6653.5 |
    |  274 | 202 | 345 | 265 | 342 |    127.7 |    -91.9 |    129.9 |   -75.1 |     54.0 |
    |  275 | 150 | 128 | 130 | 330 |    329.8 |   -162.9 |    230.4 |  -194.0 |     95.8 |
    |  276 | 233 | 203 | 350 | 317 |   3680.2 |   4628.3 |   6545.4 | -2164.8 |  -2722.5 |
    |  277 | 191 |  25 |  26 | 332 |     94.8 |     -7.1 |     10.0 |   -55.8 |      4.2 |
    |  278 | 190 |  10 |  11 | 334 |     -1.6 |   -174.1 |    246.2 |     0.9 |    102.4 |
    |  279 | 319 | 325 | 356 | 192 |    -23.4 |   -352.4 |    498.4 |    13.8 |    207.3 |
    |  280 | 330 | 130 | 296 | 331 |    245.3 |   -135.2 |    191.2 |  -144.3 |     79.5 |
    |  281 | 177 | 179 | 335 | 214 |     19.7 |   -333.4 |    471.5 |   -11.6 |    196.1 |
    |  282 | 177 | 214 | 333 | 279 |     93.5 |   -305.0 |    431.3 |   -55.0 |    179.4 |
    |  283 | 118 |  12 |  13 | 336 |     22.7 |   -267.2 |    377.9 |   -13.3 |    157.2 |
    |  284 | 312 | 324 | 323 | 124 |    191.4 |     99.3 |    140.5 |  -112.6 |    -58.4 |
    |  285 | 264 | 265 | 345 | 119 |    178.7 |    -68.2 |     96.5 |  -105.1 |     40.1 |
    |  286 | 264 | 257 | 337 | 265 |    176.9 |    -65.6 |     92.8 |  -104.1 |     38.6 |
    |  287 | 207 | 266 |  82 | 339 |    206.5 |    389.3 |    550.6 |  -121.4 |   -229.0 |
    |  288 |  53 | 349 | 307 |  52 |  -3378.0 |  12178.7 |  17223.3 |  1987.1 |  -7164.0 |
    |  289 |  81 |  20 |  21 | 338 |     34.7 |   -148.3 |    209.7 |   -20.4 |     87.2 |
    |  290 | 217 | 218 | 345 | 202 |    122.1 |    -92.0 |    130.2 |   -71.8 |     54.1 |
    |  291 |  44 | 340 |  82 |  43 |    139.3 |    662.0 |    936.2 |   -82.0 |   -389.4 |
    |  292 | 137 | 341 | 218 | 217 |     63.1 |    -83.6 |    118.3 |   -37.1 |     49.2 |
    |  293 | 164 | 207 | 339 | 285 |    255.5 |    288.1 |    407.5 |  -150.3 |   -169.5 |
    |  294 | 135 | 354 | 352 | 344 |  -6141.5 |  -8249.9 |  11667.1 |  3612.7 |   4852.9 |
    |  295 |  37 |  38 | 346 | 312 |    116.7 |     41.6 |     58.8 |   -68.6 |    -24.4 |
    |  296 |  67 |  68 | 347 | 311 |   -128.1 |    -57.8 |     81.7 |    75.4 |     34.0 |
    |  297 |  22 |  23 | 348 | 313 |     22.5 |    -61.0 |     86.3 |   -13.2 |     35.9 |
    |  298 | 304 | 317 | 350 |  85 |   4559.4 |   1969.3 |   2785.0 | -2682.0 |  -1158.4 |
    |  299 | 200 | 202 | 342 | 198 |    146.3 |   -127.8 |    180.8 |   -86.1 |     75.2 |
    |  300 |  83 |  85 | 350 | 293 |   7943.4 |   3597.2 |   5087.2 | -4672.6 |  -2116.0 |
    |  301 |  40 | 269 | 346 |  39 |     48.3 |    122.1 |    172.6 |   -28.4 |    -71.8 |
    |  302 |  10 | 190 | 347 |   9 |    -52.7 |   -121.5 |    171.8 |    31.0 |     71.5 |
    |  303 |  25 | 191 | 348 |  24 |     63.0 |    -22.6 |     31.9 |   -37.1 |     13.3 |
    |  304 | 179 | 192 | 356 | 335 |     79.8 |   -320.2 |    452.9 |   -47.0 |    188.4 |
    |  305 | 325 | 263 | 247 | 356 |     46.4 |   -310.7 |    439.4 |   -27.3 |    182.8 |
    |  306 |  87 | 131 | 343 | 304 |   3170.0 |    425.1 |    601.2 | -1864.7 |   -250.1 |
    |  307 | 324 | 312 | 346 | 269 |    108.4 |     92.7 |    131.1 |   -63.8 |    -54.5 |
    |  308 | 225 | 311 | 347 | 190 |    -90.9 |    -99.5 |    140.7 |    53.5 |     58.5 |
    |  309 | 341 | 313 | 348 | 191 |     50.0 |    -42.4 |     59.9 |   -29.4 |     24.9 |
    |  310 | 210 | 211 | 357 | 209 |  -2083.2 |  -2763.0 |   3907.5 |  1225.4 |   1625.3 |
    |  311 | 228 | 357 | 211 | 352 |  -3451.2 |  -3838.1 |   5427.9 |  2030.1 |   2257.7 |
    |  312 | 344 | 353 |  69 | 135 |  -1113.4 | -12000.0 |  16970.6 |   654.9 |   7058.8 |
    |  313 |  57 | 206 | 354 | 301 |  -8328.1 |  -4303.8 |   6086.5 |  4898.9 |   2531.7 |
    |  314 |   4 |  54 | 306 | 355 |  -6532.9 |   1290.8 |   1825.5 |  3842.9 |   -759.3 |
    |  315 | 199 | 342 | 265 | 337 |    201.8 |   -110.4 |    156.1 |  -118.7 |     64.9 |
    |  316 | 323 | 324 | 351 | 205 |    191.1 |    132.6 |    187.5 |  -112.4 |    -78.0 |
    |  317 |   8 | 349 | 355 | 306 | -13009.6 |  13426.0 |  18987.2 |  7652.7 |  -7897.6 |
    |  318 |  73 | 335 | 356 | 247 |     -1.1 |   -325.4 |    460.2 |     0.7 |    191.4 |
    |  319 |   4 | 355 | 349 |  53 |  -1339.7 |   6658.4 |   9416.3 |   788.1 |  -3916.7 |
    |  320 | 235 | 344 | 352 | 211 |  -2650.5 |  -5353.9 |   7571.6 |  1559.1 |   3149.4 |
    |  321 | 228 | 352 | 354 | 206 |  -5905.2 |  -3235.3 |   4575.4 |  3473.7 |   1903.1 |
    +------+-----+-----+-----+-----+----------+----------+----------+---------+----------+
